Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score,Price_adjusted
MJ Santner,11,9,5.5,7,14-Feb,14.57,3,0,-9.07,,5,0,0,294,48,49,15,31-Mar,34.6,5,0,14.4,,14,0,0,0,21.5,7.3857780831,372.1133835622
SMSM Senanayake,11,8,3.66,6,1-Apr,27.33,1,0,-23.66,,5,0,0,14,7,4.66,4,Mar-39,42.5,2,0,-37.83,,5,0,0,0,17.66,6.066643765,305.6522024981
LRPL Taylor,45,22,45,0,0,0,3,0,0,,5,0,0,780,119,65,0,0,0,12,0,0,,20,3,0,0,67,23.0161456544,1159.6091487753
DJ Willey,20,7,10,8,22-Mar,18.75,3,0,-8.74,,5,0,0,58,13,14.5,19,25-Mar,28.36,5,0,-13.86,,13,0,0,0,25,8.5881140502,432.6899808863
F Behardien,83,36,41.5,1,4-Jan,4,0,0,37.5,Kings XI Punjab,4,0,0,449,70,44.9,2,Jan-38,144.5,8,0,-99.59,Kings XI Punjab,19,0,0,30,78.5,26.9666781175,1358.6465399829
TA Boult,0,0,0,5,21-Mar,26.2,4,0,-26.19,,4,0,0,6,4,0,39,27-May,16.97,4,0,0,,15,0,1,0,5,1.71762281,86.5379961773
MD Gunathilaka,65,46,16.25,0,0,0,2,0,0,,4,0,0,117,65,23.4,0,0,0,1,0,0,,6,0,0,0,62.25,21.3844039849,1077.3980524069
Imran Tahir,0,0,0,7,21-Apr,15,0,0,0,,4,0,0,30,9,7.5,34,May-45,31.47,6,0,-23.97,,23,0,1,0,7,2.404671934,121.1531946482
Imrul Kayes,43,18,10.75,0,0,0,1,0,0,,4,0,0,158,76,31.6,0,0,0,3,0,0,,5,0,0,0,28.75,9.8763311577,497.5934780192
CJ Jordan,16,15,8,3,23-Mar,49,1,0,-40.99,,4,0,0,22,14,5.5,7,13-Feb,49.28,7,0,-43.78,,7,0,0,0,26,8.9316386122,449.9975801217
B Kumar,9,9,4.5,2,26-Feb,50.5,0,0,-45.99,,4,0,0,46,25,9.2,15,Apr-33,41.73,2,0,-32.53,,13,0,0,0,15.5,5.3246307111,268.2677881495
NL McCullum,24,18,12,3,Feb-31,45.33,2,0,-33.33,,4,0,0,40,25,20,8,Mar-62,41,4,0,-20.99,,6,0,0,0,33,11.3363105462,571.1507747699
SL Malinga,2,2,2,6,16-Feb,20.16,1,0,-18.16,,4,0,0,33,17,6.6,20,Mar-35,31.1,3,0,-24.49,,13,0,0,0,10,3.4352456201,173.0759923545
CH Morris,17,17,0,5,16-Feb,25.4,2,0,0,,4,0,0,83,62,27.66,7,Mar-74,43,1,0,-15.33,,6,0,0,0,22,7.5575403641,380.7671831799
Nurul Hasan,52,30,52,0,0,0,0,1,0,,4,0,0,,,,,,,,,,,,,,0,82,28.1690140845,1419.223137307
AR Patel,24,13,12,5,Mar-18,20.4,2,0,-8.39,,4,0,0,50,15,12.5,12,Mar-39,33.91,5,0,-21.41,,9,0,0,0,30,10.3057368602,519.2279770635
MDKJ Perera,75,40,18.75,0,0,0,2,1,0,,4,0,0,420,116,42,0,0,0,6,0,0,,10,1,0,0,58.75,20.1820680179,1016.8214550828
AM Phangiso,2,2,2,7,30-Mar,17.14,0,0,-15.14,,4,0,0,21,20,10.5,1,Jan-37,88,0,0,-77.49,,2,0,0,0,11,3.7787701821,190.38359159
MD Shanaka,56,27,14,3,16-Mar,9.33,0,0,4.66,,4,0,0,,,,,,,,,,,,,,0,44,15.1150807283,761.5343663599
MM Sharma,3,3,0,3,28-Feb,27.66,1,0,0,,4,0,0,11,11,5.5,19,Mar-48,30.52,4,0,-25.02,,13,0,0,0,6,2.061147372,103.8455954127
BA Stokes,37,24,18.5,4,Feb-18,26,2,0,-7.49,,4,0,0,403,68,28.78,16,Mar-52,37.56,9,0,-8.77,,15,0,0,0,46.5,15.9738921333,804.8033644485
RJW Topley,1,1,0,4,24-Mar,29.5,1,0,0,,4,0,0,7,6,7,16,Apr-50,25.62,2,0,-18.62,,10,0,0,0,5,1.71762281,86.5379961773
JDF Vandersay,12,8,0,1,30-Jan,115,1,0,0,,4,0,0,7,7,0,2,Feb-55,52,0,0,0,,3,0,0,0,9,3.0917210581,155.7683931191
SR Watson,159,124,53,3,24-Feb,34.66,3,0,18.33,,4,1,0,279,67,46.5,4,Feb-39,52.25,2,0,-5.74,,9,0,0,0,180,61.8344211611,3115.3678623813
CJ Boyce,3,3,3,2,28-Feb,35,0,0,-31.99,,3,0,0,,,,,,,,,,,,,,0,8,2.748196496,138.4607938836
MJ Henry,10,10,10,5,1-Mar,21.4,0,0,-11.39,,3,0,0,65,48,16.25,30,May-40,26.9,7,0,-10.64,,17,0,1,0,25,8.5881140502,432.6899808863
