Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score,Price_adjusted
PVD Chameera,6,3,2,9,12,75,1,0,,12,0,0,1,8,5,3,13,18,64.28,3,0,,36,0,0,1,0,76,9.6369246376,762.1053201392
JDF Vandersay,4,2,2,8,0,133.33,2,0,,12,0,0,0,3,1,1,7,0,43.75,0,0,,7,0,0,0,0,135.33,17.1600659369,1357.0488549268
KJ Abbott,8,2,2,9,0,110,1,0,,11,0,0,0,13,6,3,12,11.66,53.03,3,0,,35,0,0,0,0,111,14.0749820364,1113.0748754665
MJ Santner,5,3,1,9,5.5,55,0,0,,11,0,0,1,14,11,5,48,49,105,23,10,,294,0,0,0,0,55,6.9740901982,551.5235869428
SMSM Senanayake,5,3,0,8,3.66,50,0,0,,11,0,0,1,5,3,0,7,4.66,56,2,0,,14,0,0,1,0,50,6.3400819984,501.3850790389
MJ Henry,3,2,1,10,10,200,2,0,,10,0,0,0,17,7,3,48,16.25,106.55,5,5,,65,0,0,3,0,202,25.6139312735,2025.5957193174
MP Stoinis,1,1,1,10,0,125,1,0,,10,0,0,0,1,1,0,4,4,80,0,0,,4,0,0,0,0,126,15.977006636,1263.4903991782
B Kumar,4,2,0,9,4.5,112.5,0,0,,9,0,0,1,13,8,3,25,9.2,58.22,3,1,,46,0,0,1,0,112.5,14.2651844964,1128.1164278376
KW Richardson,1,1,0,9,9,128.57,0,0,,9,0,0,0,4,1,0,19,19,146.15,1,2,,19,0,0,0,0,128.57,16.3028868507,1289.2615922408
B Fernando,2,1,1,8,0,66.66,1,0,,8,0,0,0,,,,,,,,,,,,,,0,67.66,8.5793989602,678.4742889555
Harbhajan Singh,2,2,1,8,8,200,1,0,,8,0,0,1,7,5,2,22,15.66,97.91,3,1,,47,0,0,2,0,201,25.4871296335,2015.5680177366
DAJ Bracewell,1,1,1,7,0,350,0,1,,7,0,0,0,6,3,0,30,15,77.58,3,0,,45,0,0,0,0,351,44.5073756287,3519.7232548534
RA Jadeja,7,3,2,6,7,70,0,0,,7,0,0,0,14,10,4,32,25,91.46,13,0,,150,0,0,0,0,70,8.8761147978,701.9391106545
A Nehra,7,1,0,6,6,31.57,0,0,Sunrisers Hyderabad,6,0,0,0,,,,,,,,,,,,,,550,31.57,4.0031277738,316.5745389052
Shuvagata Hom,2,1,0,6,6,85.71,0,0,,6,0,0,0,,,,,,,,,,,,,,0,85.71,10.8681685616,859.4743024886
N Dickwella,2,2,0,4,2.5,100,1,0,,5,0,0,0,,,,,,,,,,,,,,0,101,12.8069656368,1012.7978596587
K Rabada,7,1,1,5,0,83.33,0,0,,5,0,0,0,14,7,3,19,12.5,68.49,6,0,,50,0,0,1,0,83.33,10.5663806585,835.6083727263
DAS Gunaratne,1,1,0,4,4,33.33,0,0,,4,0,0,0,,,,,,,,,,,,,,0,33.33,4.2262986601,334.2232936874
JW Hastings,1,1,0,4,4,66.66,0,0,,4,0,0,0,9,7,5,48,49,94.23,10,3,,98,0,0,0,0,66.66,8.4525973203,668.4465873747
AJ Tye,2,1,0,4,4,100,1,0,,4,0,0,0,,,,,,,,,,,,,,0,101,12.8069656368,1012.7978596587
D Wiese,6,2,0,2,2,66.66,0,0,,4,0,0,0,6,6,1,41,20.4,88.69,7,5,,102,0,0,0,0,66.66,8.4525973203,668.4465873747
CJ Boyce,3,1,0,3,3,50,0,0,,3,0,0,0,,,,,,,,,,,,,,0,50,6.3400819984,501.3850790389
CAK Rajitha,2,1,1,3,0,42.85,0,0,,3,0,0,0,,,,,,,,,,,,,,0,42.85,5.4334502726,429.6870127364
MM Sharma,4,2,2,3,0,42.85,0,0,,3,0,0,0,13,4,2,11,5.5,44,2,0,,11,0,0,1,0,42.85,5.4334502726,429.6870127364
Sohag Gazi,1,1,0,3,3,50,0,0,,3,0,0,0,,,,,,,,,,,,,,0,50,6.3400819984,501.3850790389
SL Malinga,4,1,0,2,2,50,0,0,,2,0,0,0,13,8,3,17,6.6,78.57,2,1,,33,0,0,1,0,50,6.3400819984,501.3850790389
Mustafizur Rahman,8,3,1,1,1,25,0,0,,2,0,0,1,9,5,3,9,7.5,45.45,2,0,,15,0,0,0,0,25,3.1700409992,250.6925395195
AM Phangiso,4,1,0,2,2,40,0,0,,2,0,0,0,2,2,0,20,10.5,84,1,0,,21,0,0,0,0,40,5.0720655987,401.1080632312
KDK Vithanage,2,2,0,1,1,25,0,0,,2,0,0,0,,,,,,,,,,,,,,0,25,3.1700409992,250.6925395195
Al-Amin Hossain,5,1,1,1,0,50,0,0,,1,0,0,0,3,2,2,1,0,14.28,0,0,,1,0,0,0,0,50,6.3400819984,501.3850790389
TD Astle,2,1,0,1,1,20,0,0,,1,0,0,0,,,,,,,,,,,,,,0,20,2.5360327994,200.5540316156
JM Bairstow,1,1,0,1,1,50,0,0,,1,0,0,0,5,4,1,83,47,117.5,16,2,,141,0,1,0,0,50,6.3400819984,501.3850790389
CRD Fernando,1,1,0,1,1,16.66,0,0,,1,0,0,0,,,,,,,,,,,,,,0,16.66,2.1125153219,167.0615083358
RAS Lakmal,1,1,1,1,0,100,0,0,,1,0,0,0,10,3,2,8,10,62.5,0,0,,10,0,0,0,0,100,12.6801639968,1002.7701580779
Mohammad Mithun,1,1,0,1,1,33.33,0,0,,1,0,0,0,,,,,,,,,,,,,,0,33.33,4.2262986601,334.2232936874
LE Plunkett,2,1,0,1,1,50,0,0,,1,0,0,0,5,5,1,44,24.75,176.78,9,6,,99,0,0,0,0,50,6.3400819984,501.3850790389
Sandeep Sharma,2,1,1,1,0,100,0,0,,1,0,0,0,,,,,,,,,,,,,,0,100,12.6801639968,1002.7701580779
SW Tait,2,1,1,1,0,33.33,0,0,,1,0,0,0,,,,,,,,,,,,,,0,33.33,4.2262986601,334.2232936874
RJW Topley,4,1,1,1,0,50,0,0,,1,0,0,0,10,5,4,6,7,17.5,0,0,,7,0,0,0,0,50,6.3400819984,501.3850790389
