Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score
Imrul Kayes,3,3,0,36,17.33,130,6,1,,52,0,0,0,5,5,0,68,25,77.16,13,2,,125,0,1,0,0,137,1202.4989673689
TG Southee,13,5,1,20,13,216.66,5,4,,52,0,0,0,17,11,7,25,27,130.12,12,3,,108,0,0,0,0,225.66,1980.7001239157
Mosaddek Hossain,2,2,1,34,51,124.39,4,1,,51,0,0,0,10,7,3,41,27,93.1,13,1,,108,0,0,0,0,129.39,1135.7032218092
TAM Siriwardana,5,4,0,35,12.5,125,2,2,,50,0,0,2,12,12,0,58,19.33,86.89,16,5,,232,0,1,1,0,129,1132.2800495663
C Jonker,1,1,0,49,49,204.16,5,2,,49,0,0,0,,,,,,,,,,,,,,0,211.16,1853.4283353986
DJ Willey,8,6,0,21,7.66,143.75,4,2,,46,0,0,0,7,4,2,26,15,61.22,3,0,,30,0,0,0,0,149.75,1314.4103676167
AL Phehlukwayo,9,3,1,27,20,137.93,6,0,,40,0,0,1,15,12,6,34,26.5,93.52,12,8,,159,0,0,1,0,143.93,1263.3261049153
TWM Latham,1,1,0,39,39,108.33,3,1,,39,0,0,0,18,17,1,104,36.68,85.07,54,7,,587,2,3,2,0,112.33,985.9613795952
IS Sodhi,14,4,1,15,13,97.5,3,2,,39,0,0,1,,,,,,,,,,,,,,0,102.5,899.6798843453
AK Kitchen,5,4,1,16,12.66,118.75,3,1,,38,0,0,0,,,,,,,,,,,,,,0,122.75,1077.4215200331
RR Pant,1,1,0,38,38,108.57,2,1,,38,0,0,0,,,,,,,,,,,,,,0,111.57,979.290582404
BM Wheeler,3,3,1,30,18.5,132.14,3,2,,37,0,0,0,,,,,,,,,,,,,,0,137.14,1203.7277984304
F du Plessis,1,1,0,36,36,144,1,3,,36,0,0,0,15,14,2,120,51.25,87.6,57,3,,615,1,5,1,0,148,1299.0499793474
CJ Jordan,8,6,4,16,17.5,134.61,1,2,,35,0,0,0,,,,,,,,,,,,,,0,137.61,1207.8531598513
CH Morris,6,5,1,12,8.25,106.45,3,1,,33,0,0,1,15,12,1,37,19.27,96.36,22,4,,212,0,0,0,0,110.45,969.4599339116
KM Jadhav,4,2,0,27,15.5,100,3,1,,31,0,0,0,25,16,4,67,27.5,95.1,35,5,,330,0,2,1,0,104,912.8459314333
JM Vince,2,2,0,21,15.5,110.71,2,1,,31,0,0,0,,,,,,,,,,,,,,0,113.71,998.0741429162
TL Seifert,4,3,1,14,14.5,145,1,3,,29,0,0,0,,,,,,,,,,,,,,0,149,1307.8273440727
Tamim Iqbal,2,2,0,29,14.5,116,2,2,,29,0,0,1,17,16,2,128,64.14,80.97,88,12,,898,2,7,1,0,120,1053.2837670384
Mehidy Hasan Miraz,3,3,0,14,9,142.1,1,2,,27,0,0,1,8,5,0,51,18.2,58.7,9,0,,91,0,1,0,0,145.1,1273.595621644
AJ Turner,3,3,0,18,8.66,123.8,1,0,,26,0,0,0,,,,,,,,,,,,,,0,124.8,1095.41511772
TD Paine,5,4,1,17,8.33,113.63,2,1,,25,0,0,1,4,4,2,34,58.5,82.97,8,1,,117,0,0,0,0,116.63,1023.7040479141
