Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score
CH Morris,33,12,8.25,7,10-Feb,25.14,0,0,-16.89,,6,0,0,212,37,19.27,11,Apr-62,60.63,2,0,-41.36,,15,0,0,0,27.25,448.3874506362
Mushfiqur Rahim,110,66,22,0,0,0,0,2,0,,6,0,0,600,110,42.85,0,0,0,12,2,0,,19,1,0,0,88,1448.0035103115
D Paterson,5,4,5,7,Apr-32,29.28,1,0,-24.28,,6,0,0,0,0,0,4,Mar-44,45,2,0,0,,3,0,0,0,16,263.2733655112
Soumya Sarkar,205,51,34.16,1,25-Jan,25,6,0,9.16,,6,0,0,243,87,24.3,0,0,0,2,0,0,,12,0,0,0,86.16,1417.7270732778
B Stanlake,0,0,0,8,15-Mar,26,0,0,0,SRH,6,0,0,,,,,,,,,,,,,,50,8,131.6366827556
MP Stoinis,10,6,5,3,16-Jan,43,2,0,-37.99,,6,0,0,374,87,53.42,4,Feb-54,87.25,3,0,-33.82,,10,0,0,0,14,230.3641948223
I Udana,25,19,12.5,5,12-Jan,32,1,0,-19.49,,6,0,0,,,,,,,,,,,,,,0,36.5,600.5923650724
AC Agar,2,2,2,7,27-Mar,16.42,4,0,-14.42,,5,0,0,9,9,9,2,Jan-54,62.5,0,0,-53.49,,2,0,0,0,11,181.0004387889
AT Carey,6,5,0,0,0,0,4,1,0,,5,0,0,27,27,27,0,0,0,1,0,0,,1,0,0,0,5,82.2729267222
MC Henriques,145,62,72.5,0,0,0,1,0,0,,5,0,0,35,18,17.5,1,Jan-30,61,2,0,-43.49,,3,0,0,0,134.5,2213.1417288284
CK Kapugedera,99,50,33,0,0,0,4,0,0,,5,0,0,73,40,14.6,0,0,0,1,0,0,,5,0,0,0,83,1365.7305835893
KD Karthik,84,48,42,0,0,0,1,0,0,,5,0,0,183,64,61,0,0,0,4,0,0,,8,0,0,0,90,1480.9126810004
AK Kitchen,38,16,12.66,2,3-Jan,23,3,0,-10.33,,5,0,0,,,,,,,,,,,,,,0,30.66,504.4975866608
KMDN Kulasekara,22,12,22,5,1-Apr,36.6,0,0,-14.59,,5,0,0,8,5,8,4,Apr-37,15.5,2,0,-7.49,,3,0,0,0,39,641.7288284335
CA Lynn,93,44,23.25,0,0,0,0,0,0,,5,0,0,,,,,,,,,,,,,,0,67.25,1106.5708644142
DJ Malan,250,78,50,1,27-Jan,27,1,0,23,,5,0,0,,,,,,,,,,,,,,0,129,2122.641509434
EJG Morgan,110,80,36.66,0,0,0,2,0,0,,5,0,0,707,107,37.21,0,0,0,5,0,0,,22,2,0,0,116.66,1919.5919262835
TD Paine,25,17,8.33,0,0,0,6,2,0,,5,0,0,117,34,58.5,0,0,0,6,0,0,,4,0,0,0,25.33,416.7946467749
MDKJ Perera,181,77,36.2,0,0,0,1,0,0,,5,0,0,221,80,73.66,0,0,0,1,0,0,,5,0,0,0,113.2,1862.6590609917
AU Rashid,10,8,5,7,25-Mar,21,1,0,-15.99,,5,0,0,95,39,13.57,36,May-27,25.58,8,0,-12.01,,21,0,1,0,20,329.091706889
KW Richardson,0,0,0,8,1-Mar,19.75,2,0,0,,5,0,0,0,0,0,7,Mar-55,22.57,1,0,-22.57,,3,0,0,0,8,131.6366827556
Sabbir Rahman,60,19,12,0,0,0,0,0,0,,5,0,0,331,65,20.68,1,Jan-13,43,9,0,-22.31,,19,0,0,0,31,510.0921456779
S Samarawickrama,85,32,17,0,0,0,3,1,0,,5,0,0,42,42,14,0,0,0,0,0,0,,3,0,0,0,49,806.274681878
T Shamsi,0,0,0,2,31-Jan,69.5,0,0,0,,5,0,0,0,0,0,1,Jan-39,105,0,0,-104.99,,3,0,0,0,2,32.9091706889
DJM Short,196,76,49,0,0,0,0,0,0,,5,0,0,,,,,,,,,,,,,,0,125,2056.8231680562
TAM Siriwardana,50,35,12.5,0,0,0,2,0,0,,5,0,0,232,58,19.33,1,Jan-39,252,1,0,-232.66,,12,0,0,0,47.5,781.5928038613
JT Smuts,90,45,18,0,0,0,1,0,0,,5,0,0,,,,,,,,,,,,,,0,63,1036.6388767003
JD Unadkat,0,0,0,7,15-Feb,17,1,0,0,,5,0,0,,,,,,,,,,,,,,0,7,115.1820974111
A Zampa,4,4,0,8,25-Mar,12.12,0,0,0,,5,0,0,16,11,8,8,Feb-13,58.5,1,0,-50.49,,9,0,0,0,12,197.4550241334
MS Chapman,81,37,27,0,0,0,2,0,0,,4,0,0,,,,,,,,,,,,,,0,64,1053.0934620448
LA Dawson,17,10,17,2,27-Jan,52.5,0,0,-35.49,,4,0,0,,,,,,,,,,,,,,0,29,477.182974989
KM Jadhav,31,27,15.5,0,0,0,0,0,0,,4,0,0,330,67,27.5,10,Feb-22,37.1,12,0,-9.59,,25,0,0,0,42.5,699.3198771391
BKG Mendis,142,70,35.5,0,0,0,0,0,0,,4,0,0,554,102,27.7,0,0,0,12,0,0,,22,1,0,0,105.5,1735.9587538394
M Mosehle,56,36,18.66,0,0,0,3,1,0,,4,0,0,,,,,,,,,,,,,,0,54.66,899.4076349276
Mustafizur Rahman,8,8,8,5,Apr-18,23.2,1,0,-15.19,,4,0,0,21,18,0,21,Apr-23,26.85,4,0,0,,16,0,0,0,21,345.5462922334
AR Patel,6,5,6,2,20-Feb,52,1,0,-45.99,,4,0,0,11,6,5.5,10,Mar-34,35.2,2,0,-29.69,,8,0,0,0,13,213.9096094778
LE Plunkett,18,18,6,6,27-Mar,19.66,3,0,-13.66,,4,0,0,44,15,11,37,May-52,20.89,7,0,-9.89,,19,0,1,0,30,493.6375603335
KL Rahul,178,89,44.5,0,0,0,2,0,0,,4,0,0,28,17,9.33,0,0,0,1,0,0,,4,0,0,0,133.5,2196.687143484
SHA Rance,1,1,1,7,26-Mar,14.71,0,0,-13.71,,4,0,0,0,0,0,1,Jan-44,110,3,0,0,,2,0,0,0,9,148.0912681
TL Seifert,29,14,14.5,0,0,0,1,2,0,,4,0,0,,,,,,,,,,,,,,0,28.5,468.9556823168
Shakib Al Hasan,64,38,16,6,24-Mar,17.16,0,0,-1.16,,4,0,0,593,114,37.06,15,Mar-34,49.86,2,0,-12.8,,19,1,0,0,60,987.275120667
HM Amla,150,85,50,0,0,0,3,0,0,,3,0,0,755,110,41.94,0,0,0,8,0,0,,19,2,0,0,135,2221.3690215007
JM Bairstow,134,60,67,0,0,0,0,0,0,,3,0,0,635,141,70.55,0,0,0,3,0,0,,14,2,0,0,127,2089.7323387451
