Player,Runs_t20,HS_t20,Bat Av_t20,Wkts_t20,BBI_t20,Bowl Av_t20,Ct_t20,St_t20,Ave Diff_t20,Team_t20,Matches_t20,100s_t20,5s_t20,Runs_odi,HS_odi,Bat Av_odi,Wkts_odi,BBI_odi,Bowl Av_odi,Ct_odi,St_odi,Ave Diff_odi,Team_odi,Matches_odi,100s_odi,5s_odi,Price,Score,Price_score,Price_adjusted
Harbhajan Singh,0,0,0,1,11-Jan,11,1,0,0,,1,0,0,,,,,,,,,,,,,,0,1,10.7944732297,14.936697669
RR Hendricks,41,41,41,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,82,885.1468048359,1224.8092088542
MJ Henry,0,0,0,1,1-Jan,44,1,0,0,,1,0,0,79,39,26.33,7,Feb-53,46.42,1,0,-20.09,,5,0,0,0,1,10.7944732297,14.936697669
MF Maharoof,10,10,10,0,0,0,0,0,0,,1,0,0,71,31,23.66,2,Jan-59,112,1,0,-88.33,,5,0,0,0,20,215.8894645941,298.7339533791
P Negi,0,0,0,1,16-Jan,16,2,0,0,RCB,1,0,0,,,,,,,,,,,,,,100,1,10.7944732297,14.936697669
HM Nicholls,7,7,7,0,0,0,0,0,0,,1,0,0,3,3,3,0,0,0,2,0,0,,1,0,0,0,14,151.1226252159,209.1137673654
RR Pant,5,5,0,0,0,0,1,0,0,,1,0,0,,,,,,,,,,,,,,0,5,53.9723661485,74.6834883448
Parvez Rasool,5,5,5,1,1-Jan,32,0,0,-26.99,,1,0,0,,,,,,,,,,,,,,0,11,118.7392055268,164.3036743585
GD Phillips,5,5,5,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,10,107.9447322971,149.3669766895
CAK Rajitha,0,0,0,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,0,0,0
RLB Rambukwella,19,19,19,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,38,410.1899827288,567.5945114202
Saqlain Sajib,0,0,0,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,0,0,0
TG Southee,20,20,20,0,0,0,0,0,0,,1,0,0,127,55,14.11,18,Mar-40,39.88,3,0,-25.77,,14,0,0,0,40,431.7789291883,597.4679067581
B Stanlake,0,0,0,0,0,0,0,0,0,RCB,1,0,0,1,1,0,1,Jan-55,68,0,0,0,RCB,2,0,0,30,0,0,0
JD Unadkat,0,0,0,0,0,0,0,0,0,,1,0,0,,,,,,,,,,,,,,0,0,0,0
MS Wade,14,14,14,0,0,0,0,0,0,,1,0,0,568,100,33.41,0,0,0,23,2,0,,26,1,0,0,28,302.2452504318,418.2275347307
