Player,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s
Mashrafe Mortaza (BDESH),2,2,1,9,9*,9,6-Jan,150,0,0,1,1,0
JJ Bumrah (INDIA),10,2,1,8,7,8,11-Jan,72.72,0,0,0,1,0
TK Curran (ENG),6,3,2,8,6,8,6-Jan,133.33,0,0,0,0,1
AD Mathews (SL),3,2,0,8,7,4,12-Jan,66.66,0,0,0,1,0
Mustafizur Rahman (BDESH),4,1,0,8,8,8,9-Jan,88.88,0,0,0,1,0
HM Nicholls (NZ),3,2,0,8,6,4,11-Jan,72.72,0,0,0,1,0
CJ Anderson (NZ),1,1,0,6,6,6,10-Jan,60,0,0,0,0,0
AT Carey (AUS),5,3,3,6,5*,-,6-Jan,100,0,0,0,0,0
B Kumar (INDIA),10,3,2,6,3*,6,10-Jan,60,0,0,0,0,0
AR Patel (INDIA),4,2,1,6,5,6,4-Jan,150,0,0,0,1,0
Mohammad Mithun (BDESH),1,1,0,5,5,5,3-Jan,166.66,0,0,0,1,0
M Morkel (SA),2,2,2,5,5*,-,3-Jan,166.66,0,0,0,1,0
D Paterson (SA),6,2,1,5,4*,5,2-Jan,250,0,0,0,1,0
WD Parnell (SA),2,1,1,4,4*,-,1-Jan,400,0,0,0,1,0
Taskin Ahmed (BDESH),3,2,0,4,4,2,4-Jan,100,0,0,1,1,0
A Zampa (AUS),5,1,1,4,4*,-,3-Jan,133.33,0,0,0,1,0
Ariful Haque (BDESH),2,2,1,3,2,3,4-Jan,75,0,0,0,0,0
YS Chahal (INDIA),10,1,1,3,3*,-,2-Jan,150,0,0,0,0,0
PJ Cummins (AUS),3,2,1,3,3,3,3-Jan,100,0,0,0,0,0
Rubel Hossain (BDESH),3,2,2,3,2*,-,5-Jan,60,0,0,0,0,0
Abu Jayed (BDESH),1,1,0,2,2,2,3-Jan,66.66,0,0,0,0,0
AC Agar (AUS),5,1,0,2,2,2,5-Jan,40,0,0,0,0,0
TA Boult (NZ),12,3,3,2,1*,-,Jan-00,100,0,0,0,0,0
LD Chandimal (SL),2,1,1,2,2*,-,1-Jan,200,0,0,0,0,0
CJ Dala (SA),3,1,1,2,2*,-,3-Jan,66.66,0,0,0,0,0
MVT Fernando (SL),1,1,0,2,2,2,2-Jan,100,0,0,0,0,0
SL Malinga (SL),6,3,1,2,1*,1,7-Jan,28.57,0,0,1,0,0
NM Coulter-Nile (AUS),2,1,0,1,1,1,Jan-00,50,0,0,0,0,0
Nazmul Islam (BDESH),2,1,1,1,1*,-,1-Jan,100,0,0,0,0,0
SHA Rance (NZ),4,1,0,1,1,1,2-Jan,50,0,0,0,0,0
Shafiul Islam (BDESH),1,1,0,1,1,1,Jan-00,33.33,0,0,0,0,0
Afif Hossain (BDESH),1,1,0,0,0,0,2-Jan,0,0,0,1,0,0
DAJ Bracewell (NZ),3,1,0,0,0,0,1-Jan,0,0,0,1,0,0
N Pradeep (SL),3,2,2,0,0*,-,5-Jan,0,0,0,0,0,0
JA Richardson (AUS),2,1,0,0,0,0,1-Jan,0,0,0,1,0,0
L Ronchi (NZ),1,1,0,0,0,0,1-Jan,0,0,0,1,0,0
T Shamsi (SA),5,1,1,0,0*,-,Jan-00,0,0,0,0,0,0
AJ Tye (AUS),9,2,1,0,0*,0,4-Jan,0,0,0,1,0,0
MA Aponso (SL),1,-,-,-,-,-,-,-,-,-,-,-,-
JP Behrendorff (AUS),2,-,-,-,-,-,-,-,-,-,-,-,-
